Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Blades of Glory,118594548,145594548,61000000,30-Mar-07,00-10,PG-13,94,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Josh Gordon,69,6.5,51929
The Reaping,25126214,62226214,40000000,5-Apr-07,00-10,R,100,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8,5.6,19881
The Hoax,7164995,7164995,25000000,6-Apr-07,00-10,R,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Lasse Hallstrom,85,6.9,9171
Grindhouse,25031037,50187789,53000000,6-Apr-07,00-10,R,191,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,,7.9,82770
Zwartboek,4398392,4398392,22000000,6-Apr-07,00-10,R,,Sony Pictures Classics,Based on Real Life Events,Thriller/Suspense,Historical Fiction,Paul Verhoeven,,8,27288
Aqua Teen Hunger Force: The Movie,5520368,5520368,750000,13-Apr-07,00-10,R,,First Look,Based on TV,Comedy,Science Fiction,,,,
Disturbia,80209692,117573043,20000000,13-Apr-07,00-10,PG-13,104,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68,7,72231
Slow Burn,1237615,1237615,15500000,13-Apr-07,00-10,R,93,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,12,5.9,2318
Hot Fuzz,23618786,79197493,16000000,20-Apr-07,00-10,R,121,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91,8,129779
In the Land of Women,11052958,14140402,10500000,20-Apr-07,00-10,PG-13,98,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,44,6.7,13550
Ta Ra Rum Pum,872643,9443864,7400000,27-Apr-07,00-10,Not Rated,,Yash Raj Films,Original Screenplay,Comedy,Contemporary Fiction,,67,5.1,1051
Jindabyne,399879,2862544,10800000,27-Apr-07,00-10,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.4,3920
Waitress,19097550,22202180,1500000,2-May-07,00-10,PG-13,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Adrienne Shelly,89,7.2,20384
Spider-Man 3,336530303,890871626,258000000,4-May-07,00-10,PG-13,139,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63,6.4,141513
Lucky You,5755286,6521829,55000000,4-May-07,00-10,PG-13,122,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Curtis Hanson,28,5.9,9870
"Paris, je t'aime",4857374,4857374,13000000,4-May-07,00-10,R,,First Look,Original Screenplay,Drama,Contemporary Fiction,Gurinder Chadha,,6.6,175
The Salon,139084,139084,1500000,11-May-07,00-10,PG-13,,Freestyle Releasing,Based on Play,Comedy,Contemporary Fiction,,12,3.5,308
Georgia Rule,18882880,20819601,20000000,11-May-07,00-10,R,111,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8,10902
28 Weeks Later,28638916,64238440,15000000,11-May-07,00-10,R,91,20th Century Fox,Original Screenplay,Horror,Science Fiction,,,7.1,69558
Shrek the Third,322719944,798958162,160000000,18-May-07,00-10,PG,92,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Chris Miller,41,6.1,59778
The Wendell Baker Story,127188,127188,8000000,18-May-07,00-10,PG-13,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,Luke Wilson,,5.5,3535
Brooklyn Rules,458232,458232,8000000,18-May-07,00-10,R,99,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,6.4,2797
Pirates of the Caribbean: At World's End,309420425,960996492,300000000,25-May-07,00-10,PG-13,167,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7,133241
Bug,7006708,7006708,4000000,25-May-07,00-10,R,,Lionsgate,Based on Play,Drama,Contemporary Fiction,William Friedkin,,6,14164
And Then Came Love,8158,8158,989000,1-Jun-07,00-10,Not Rated,,Fox Meadow,,Comedy,,,17,4.4,200
Gracie,2956339,3036736,9000000,1-Jun-07,00-10,PG-13,98,Picturehouse,Based on Real Life Events,Drama,Dramatization,,59,6.2,2084
Knocked Up,148761765,218994109,27500000,1-Jun-07,00-10,R,132,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Judd Apatow,90,7.5,111192
Ocean's Thirteen,117144465,311744465,85000000,8-Jun-07,00-10,PG-13,122,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70,6.9,76884
Surf's Up,58867694,145395745,100000000,8-Jun-07,00-10,PG,86,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,Ash Brannon,77,7,20974
La M’Ème,10299782,83499782,15500000,8-Jun-07,00-10,PG-13,,Picturehouse,Based on Real Life Events,Drama,Dramatization,,,7.6,21412
Hostel: Part II,17544812,33606409,7500000,8-Jun-07,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,45,5.4,31511
Fantastic Four: Rise of the Silver Surfer,131921738,288215319,120000000,15-Jun-07,00-10,PG,92,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,36,,
DOA: Dead or Alive,480314,2670860,30000000,15-Jun-07,00-10,PG-13,,Weinstein/Dimension,Based on Game,Action,Fantasy,Corey Yuen,34,4.9,16646
Fido,298110,419801,8000000,15-Jun-07,00-10,R,93,Lionsgate,Original Screenplay,Horror,Fantasy,,,6.9,11683
Once,9445857,18997174,150000,16-Jun-07,00-10,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,,97,8,34348
You Kill Me,2426851,2426851,4000000,22-Jun-07,00-10,R,92,IFC Films,Original Screenplay,Comedy,Contemporary Fiction,John Dahl,78,6.7,9498
Evan Almighty,100289690,173219280,175000000,22-Jun-07,00-10,PG,78,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23,5.5,43164
Sicko,24538513,33538513,9000000,22-Jun-07,00-10,PG-13,,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93,8.2,40886
A Mighty Heart,9176787,18932117,15000000,22-Jun-07,00-10,R,100,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78,6.7,13881
1408,71985628,128529299,22500000,22-Jun-07,00-10,PG-13,102,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,78,6.9,72913
Live Free or Die Hard,134529403,383531464,110000000,27-Jun-07,00-10,PG-13,128,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5,130559
Ratatouille,206445654,620495432,150000000,29-Jun-07,00-10,G,111,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1,131929
Chacun sa nuit,18435,18435,1900000,29-Jun-07,00-10,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365
Transformers,319246193,708272592,151000000,3-Jul-07,00-10,PG-13,140,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57,7.3,197131
License to Wed,43799818,70799818,35000000,3-Jul-07,00-10,PG,90,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ken Kwapis,7,5.1,15422
Rescue Dawn,5490423,7037886,10000000,4-Jul-07,00-10,PG-13,125,MGM,Based on Real Life Events,Action,Historical Fiction,Werner Herzog,,7.5,37764
Rockaway,0,0,2000000,7-Jul-07,00-10,R,,Off-Hollywood Distribution,Original Screenplay,Drama,Contemporary Fiction,,,4.2,232
Harry Potter and the Order of the Phoenix,292004738,938468864,150000000,11-Jul-07,00-10,PG-13,138,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074
Cama adentro,200433,200433,800000,18-Jul-07,00-10,Not Rated,,Film Sales Company,Original Screenplay,Drama,Historical Fiction,,,7.2,466
I Now Pronounce You Chuck and Larry,119725280,185708462,85000000,20-Jul-07,00-10,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1,46347
Hairspray,118823091,202823091,75000000,20-Jul-07,00-10,PG,117,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91,7.2,41511
Sunshine,3688560,32030610,40000000,20-Jul-07,00-10,R,108,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74,7.3,74535
The Simpsons Movie,183135014,527071022,72500000,27-Jul-07,00-10,PG-13,86,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6,117656
Moli’ re,635733,791154,21600000,27-Jul-07,00-10,PG-13,120,Sony Pictures Classics,,Comedy,Dramatization,,,7.2,265
No End In Sight,1433319,1433319,2000000,27-Jul-07,00-10,Not Rated,,Magnolia Pictures,Based on Real Life Events,Documentary,Factual,,94,8.3,4086
No Reservations,43107979,92107979,28000000,27-Jul-07,00-10,PG,103,Warner Bros.,Remake,Romantic Comedy,Contemporary Fiction,,40,6.3,16952
The Bourne Ultimatum,227471070,442161562,130000000,3-Aug-07,00-10,PG-13,114,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93,8.2,146025
Hot Rod,13938332,14334401,25000000,3-Aug-07,00-10,PG-13,83,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,40,6.5,22250
"Gandhi, My Father",240425,1375194,5000000,3-Aug-07,00-10,Not Rated,,Eros Entertainment,Based on Book/Short Story,Drama,Dramatization,,40,8.1,50881
Becoming Jane,18663911,37304637,16500000,3-Aug-07,00-10,PG,120,Miramax,Based on Real Life Events,Romantic Comedy,Dramatization,,58,7,15167
Daddy Day Camp,13235267,18197398,76000000,8-Aug-07,00-10,PG,85,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,1,2.4,6809
Rush Hour 3,140125968,253025968,180000000,10-Aug-07,00-10,PG-13,91,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19,6,39312
Stardust,38634938,135556675,70000000,10-Aug-07,00-10,PG-13,128,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76,7.9,87883
The Last Legion,5932060,21439015,67000000,17-Aug-07,00-10,PG-13,101,Weinstein/Dimension,Based on Book/Short Story,Action,Historical Fiction,,17,5.4,12250
Superbad,121463226,169863226,17500000,17-Aug-07,00-10,R,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87,7.8,134212
Death at a Funeral,8580428,34743644,20000000,17-Aug-07,00-10,R,90,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61,5.1,6628
The Invasion,15074191,40147042,80000000,17-Aug-07,00-10,PG-13,99,Warner Bros.,Remake,Thriller/Suspense,Science Fiction,,19,6,28605
War,22466994,40666994,25000000,24-Aug-07,00-10,R,99,Lionsgate,Original Screenplay,Action,Contemporary Fiction,,,6.2,28771
Mr. Bean's Holiday,33302167,229736344,25000000,24-Aug-07,00-10,G,88,Universal,Based on TV,Comedy,Contemporary Fiction,Steve Bendelack,50,6,28950
September Dawn,901857,901857,10100000,24-Aug-07,00-10,R,110,Black Diamond Pictures,Original Screenplay,Western,Historical Fiction,,13,5.5,1823
Fong juk,51957,51957,4500000,31-Aug-07,00-10,Not Rated,100,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,,,7.3,3699
3:10 to Yuma,53606916,69791889,48000000,2-Sep-07,00-10,R,117,Lionsgate,Remake,Western,Historical Fiction,James Mangold,89,7.9,98355
Romance and Cigarettes,551002,3231251,11000000,7-Sep-07,00-10,R,,Borotoro,Original Screenplay,Comedy,Contemporary Fiction,John Turturro,,6.2,5362
The Brothers Solomon,900926,900926,10000000,7-Sep-07,00-10,R,,Sony/Screen Gems,Original Screenplay,Comedy,Contemporary Fiction,,15,5.2,6044
In the Shadow of the Moon,1134358,1134358,2000000,7-Sep-07,00-10,PG,100,ThinkFilm,Based on Real Life Events,Documentary,Factual,,94,8,2974
D-War,10977721,79915361,32000000,14-Sep-07,00-10,PG-13,90,Freestyle Releasing,Traditional/Legend/Fairytale,Action,Fantasy,,,3.8,14081
Ira and Abby,221096,221096,3500000,14-Sep-07,00-10,R,,Magnolia Pictures,Original Screenplay,Comedy,Contemporary Fiction,,,6.3,855
In the Valley of Elah,6777741,24489150,23000000,14-Sep-07,00-10,R,120,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Paul Haggis,73,7.4,27529
Across the Universe,24343673,29367143,45000000,14-Sep-07,00-10,PG-13,133,Sony Pictures,Original Screenplay,Musical,Historical Fiction,,53,7.5,45611
Resident Evil: Extinction,50648679,146162920,45000000,21-Sep-07,00-10,R,95,Sony/Screen Gems,Based on Game,Action,Science Fiction,Russell Mulcahy,22,6.2,49502
Sydney White,11892415,12778631,16500000,21-Sep-07,00-10,PG-13,107,Universal,Traditional/Legend/Fairytale,Comedy,Contemporary Fiction,,37,6.2,9309
Into the Wild,18354356,53813837,20000000,21-Sep-07,00-10,R,147,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,82,8.2,99464
Good Luck Chuck,35017297,59183821,25000000,21-Sep-07,00-10,R,96,Lionsgate,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5.6,29013
The Assassination of Jesse James by the Coward Robert Ford,3909149,15001776,30000000,21-Sep-07,00-10,R,160,Warner Bros.,Based on Book/Short Story,Western,Dramatization,,75,7.7,57465
The Game Plan,90648202,147914546,22000000,22-Sep-07,00-10,PG,110,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Fickman,27,6.3,14984
The Kingdom,47467250,86509602,72500000,28-Sep-07,00-10,R,110,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,51,7.1,47200
Se jie,4604982,65696051,15000000,28-Sep-07,00-10,NC-17,156,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,,7.6,15440
Lake of Fire,25317,25317,6000000,3-Oct-07,00-10,Not Rated,,ThinkFilm,Based on Real Life Events,Documentary,Factual,,,8.4,1027
Finishing the Game,52850,52850,500000,5-Oct-07,00-10,Not Rated,,IFC First Take,Original Screenplay,Comedy,Contemporary Fiction,Justin Lin,35,,
Michael Clayton,49033882,92987651,21500000,5-Oct-07,00-10,R,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Tony Gilroy,90,7.5,59493
The Good Night,22441,22441,15000000,5-Oct-07,00-10,R,93,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,29,6,4332
Control,871577,5645350,6400000,10-Oct-07,00-10,R,,Weinstein Co.,Based on Book/Short Story,Drama,Dramatization,,87,7.8,19466
Lars and the Real Girl,5956480,10553442,12500000,12-Oct-07,00-10,PG-13,106,MGM,Original Screenplay,Comedy,Contemporary Fiction,,81,7.5,32423
We Own the Night,28563179,54700285,28000000,12-Oct-07,00-10,R,117,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,James Gray,56,7,38163
"Gone, Baby, Gone",20300218,34619699,19000000,19-Oct-07,00-10,R,114,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,,,
30 Days of Night,39568996,75066323,30000000,19-Oct-07,00-10,R,,Sony Pictures,Based on Comic/Graphic Novel,Horror,Fantasy,,49,6.6,52518
Rendition,9736045,20437142,27500000,19-Oct-07,00-10,R,121,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46,6.9,23223
Arnolds Park,23616,23616,600000,19-Oct-07,00-10,PG-13,,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.1,77
Bella,8093373,9220041,3300000,26-Oct-07,00-10,PG-13,,Roadside Attractions,Original Screenplay,Drama,Contemporary Fiction,,,7.3,6562
Saw IV,63300095,134528909,10000000,26-Oct-07,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,17,6,44730
Bee Movie,126631277,287594577,150000000,2-Nov-07,00-10,PG,90,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Hickner,51,6.3,30575
American Gangster,130164645,265697825,100000000,2-Nov-07,00-10,R,157,Universal,Based on Real Life Events,Drama,Dramatization,Ridley Scott,79,7.9,114060
The Martian Child,7500310,9076823,27000000,2-Nov-07,00-10,PG,107,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,,,,
No Country for Old Men,74273505,162103209,25000000,9-Nov-07,00-10,R,,Miramax,Based on Book/Short Story,Action,Historical Fiction,Joel Coen,95,8.3,197898
Lions for Lambs,14998070,63211088,35000000,9-Nov-07,00-10,R,90,United Artists,Original Screenplay,Drama,Contemporary Fiction,Robert Redford,27,6.2,22264
Southland Tales,275380,364607,17000000,14-Nov-07,00-10,R,,Samuel Goldwyn Films,Original Screenplay,Musical,Contemporary Fiction,Richard Kelly,,5.6,20172
Beowulf,82195215,194995215,150000000,16-Nov-07,00-10,PG-13,115,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Robert Zemeckis,70,6.6,62513
Love in the Time of Cholera,4617608,31077418,45000000,16-Nov-07,00-10,R,139,New Line,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27,6.2,8580
Redacted,65388,65388,5000000,16-Nov-07,00-10,R,90,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Brian De Palma,44,6.1,5759
August Rush,31664162,65627510,25000000,17-Nov-07,00-10,PG,113,Warner Bros.,Based on Real Life Events,Drama,Fantasy,,37,7.5,28650
Hitman,39687694,99965792,17500000,21-Nov-07,00-10,R,93,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,14,6.8,520
This Christmas,49121934,49778552,13000000,21-Nov-07,00-10,PG-13,118,Sony/Screen Gems,Original Screenplay,Drama,Contemporary Fiction,,55,5.4,3351
I'm Not There,4017609,11498547,20000000,21-Nov-07,00-10,R,,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Todd Haynes,76,7.1,23078
The Mist,25593755,54777490,13000000,21-Nov-07,00-10,R,127,MGM,Based on Book/Short Story,Horror,Science Fiction,Frank Darabont,73,7.4,76830
Enchanted,127706877,340384141,85000000,21-Nov-07,00-10,PG,108,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92,7.5,55697
Le Scaphandre et le Papillon,5990075,19689095,14000000,30-Nov-07,00-10,PG-13,,Miramax,Based on Book/Short Story,Drama,Dramatization,Julian Schnabel,,8,31172
Awake,14373825,30757745,8600000,30-Nov-07,00-10,R,,Weinstein Co.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,24,6.5,26076
His Dark Materials: The Golden Compass,70107728,372234864,205000000,1-Dec-07,00-10,PG-13,,New Line,Based on Book/Short Story,Adventure,Fantasy,Chris Weitz,,,
Juno,143495265,230327671,7000000,5-Dec-07,00-10,PG-13,95,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93,7.9,149855
Atonement,50980159,129425746,30000000,7-Dec-07,00-10,R,130,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Joe Wright,83,7.9,75491
Timber Falls,0,0,2600000,7-Dec-07,00-10,R,,Slowhand Cinema,Original Screenplay,Horror,Contemporary Fiction,,38,5.3,2213
Alvin and the Chipmunks,217326974,360578644,55000000,14-Dec-07,00-10,PG,92,20th Century Fox,Based on TV,Comedy,Kids Fiction,Tim Hill,27,5.5,19200
The Kite Runner,15800078,73222245,20000000,14-Dec-07,00-10,PG-13,122,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Marc Forster,66,7.8,26816
Goodbye Bafana,0,2717302,30000000,14-Dec-07,00-10,,,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Bille August,,7,3631
I am Legend,256393010,585055701,150000000,14-Dec-07,00-10,PG-13,100,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Francis Lawrence,69,7.1,153631
Walk Hard: The Dewey Cox Story,18317151,20575121,35000000,21-Dec-07,00-10,R,,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,,74,6.7,28032
Charlie Wilson's War,66661095,118661095,75000000,21-Dec-07,00-10,R,,Universal,Based on Book/Short Story,Drama,Dramatization,Mike Nichols,81,7.3,43168
Arn - Tempelriddaren,0,14900000,16500000,25-Dec-07,00-10,R,,,Based on Book/Short Story,Action,Historical Fiction,,,6.4,6251
The Great Debaters,30226144,30226144,15000000,25-Dec-07,00-10,PG-13,130,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Denzel Washington,79,7.6,14530
Alatriste,0,22860477,28000000,31-Dec-07,00-10,,135,,Based on Book/Short Story,Adventure,Historical Fiction,,,5.9,4944
Steppin: The Movie,0,0,1000000,1-Jan-08,00-10,,,Weinstein Co.,Original Screenplay,Comedy,Contemporary Fiction,,,3.3,108
White Noise 2: The Light,0,8243567,10000000,8-Jan-08,00-10,PG-13,,Focus Features,Original Screenplay,Horror,Fantasy,,86,5.9,5647
Cloverfield,80048433,170764033,25000000,18-Jan-08,00-10,PG-13,,Paramount Pictures,Original Screenplay,Action,Science Fiction,Matt Reeves,76,7.4,136068
Teeth,347578,2300349,2000000,18-Jan-08,00-10,R,,Roadside Attractions,Original Screenplay,Comedy,Fantasy,,,5.5,18
U2 3D,10363341,22664070,15000000,23-Jan-08,00-10,G,85,National Geographic Entertainment,Based on Real Life Events,Concert/Performance,Factual,Catherine Owens,,8.3,2090
Rambo,42754105,116754105,47500000,25-Jan-08,00-10,R,,Lionsgate,Based on Book/Short Story,Action,Contemporary Fiction,Sylvester Stallone,,7.3,82600
Meet the Spartans,38233676,84646831,30000000,25-Jan-08,00-10,PG-13,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,Jason Friedberg,2,2.4,47281
"4 luni, 3 saptamani si 2 zile",1196321,4723542,900000,25-Jan-08,00-10,Not Rated,,IFC Films,Original Screenplay,Drama,Historical Fiction,,,,
Untraceable,28687835,52649951,35000000,25-Jan-08,00-10,R,,Sony/Screen Gems,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,15,6.1,21922
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,71281781,6500000,1-Feb-08,00-10,G,,Walt Disney Pictures,Based on Real Life Events,Concert/Performance,Factual,,71,,
Sukkar banat,1060591,14253760,1600000,1-Feb-08,00-10,PG,,Roadside Attractions,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,7,3799
The Eye,31418697,56706727,12000000,1-Feb-08,00-10,PG-13,,Lionsgate,Remake,Thriller/Suspense,Fantasy,,22,5.3,17304
Fool's Gold,70231041,109362966,72500000,8-Feb-08,00-10,PG-13,,Warner Bros.,Original Screenplay,Adventure,Contemporary Fiction,Andy Tennant,,7.6,93
Welcome Home Roscoe Jenkins,42436517,43607627,27500000,8-Feb-08,00-10,PG-13,114,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,23,4.5,5700
In Bruges,7800825,30782621,15000000,8-Feb-08,00-10,R,,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,,80,8.1,97876
Jumper,80172128,222117068,82500000,14-Feb-08,00-10,PG-13,,20th Century Fox,Based on Book/Short Story,Adventure,Science Fiction,Doug Liman,17,5.9,69161
The Spiderwick Chronicles,71195053,162839667,92500000,14-Feb-08,00-10,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79,6.8,18715
Step Up 2 the Streets,58017783,150017783,17500000,14-Feb-08,00-10,PG-13,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon M. Chu,25,5.6,20345
"Definitely, Maybe",32241649,55534224,7000000,14-Feb-08,00-10,PG-13,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,71,,
Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,6000000,15-Feb-08,00-10,Not Rated,,3D Entertainment,Based on Real Life Events,Documentary,Factual,,,,
Diary of the Dead,952620,4726656,2750000,15-Feb-08,00-10,R,,Weinstein Co.,Original Screenplay,Horror,Fantasy,George A. Romero,,6,20792
Be Kind Rewind,11175164,28505302,20000000,22-Feb-08,00-10,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Michel Gondry,65,6.6,42470
Die F_—çlscher,5488570,19416495,6250000,22-Feb-08,00-10,R,,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,,,7.6,16525
Silver Medalist,0,0,2600000,29-Feb-08,00-10,,,,Original Screenplay,Comedy,Contemporary Fiction,,,,
The Other Boleyn Girl,26814957,72944278,40000000,29-Feb-08,00-10,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,41,6.7,26198
"10,000 B.C.",94784201,269065678,105000000,7-Mar-08,00-10,PG-13,,Warner Bros.,Original Screenplay,Adventure,Historical Fiction,Roland Emmerich,9,5.8,134
CJ7,206678,47300771,20000000,7-Mar-08,00-10,PG,,Sony Pictures Classics,Original Screenplay,Comedy,Kids Fiction,Stephen Chow,,,
Married Life,1506998,1506998,12000000,7-Mar-08,00-10,PG-13,,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,,,6.4,4358
The Bank Job,30060660,63060660,20000000,7-Mar-08,00-10,R,,Lionsgate,Based on Real Life Events,Thriller/Suspense,Dramatization,Roger Donaldson,79,7.5,50848
Stargate - The Ark of Truth,0,0,7000000,11-Mar-08,00-10,,,,Based on TV,Action,Science Fiction,,,,
Never Back Down,24850922,39319801,21000000,14-Mar-08,00-10,PG-13,,Summit Entertainment,Original Screenplay,Action,Contemporary Fiction,,23,6.2,21708
Doomsday,11008770,21621188,33000000,14-Mar-08,00-10,R,,Universal,Original Screenplay,Action,Science Fiction,,48,6,34035
Horton Hears a Who,154529439,297133947,85000000,14-Mar-08,00-10,G,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Jimmy Hayward,,7.2,31323
Drillbit Taylor,32862104,49686263,40000000,21-Mar-08,00-10,PG-13,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,26,5.9,19388
Meet the Browns,41975388,41975388,20000000,21-Mar-08,00-10,PG-13,,Lionsgate,Based on Play,Comedy,Contemporary Fiction,Tyler Perry,30,3.1,3362
The Grand,115879,115879,3000000,21-Mar-08,00-10,R,,Anchor Bay Entertainment,Original Screenplay,Comedy,Contemporary Fiction,Zak Penn,,6.1,3346
21,81159365,157852532,35000000,21-Mar-08,00-10,PG-13,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Robert Luketic,35,6.7,60918
Stop-Loss,10915744,11179472,25000000,28-Mar-08,00-10,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Kimberly Peirce,,6.5,9268
Three Kingdoms: Resurrection of the Dragon,0,22139590,20000000,3-Apr-08,00-10,R,,,Based on Book/Short Story,Action,Historical Fiction,,,,
Nim's Island,48006762,94081683,37000000,4-Apr-08,00-10,PG,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,50,6,10391
The Ruins,17432844,22177122,25000000,4-Apr-08,00-10,R,,Paramount Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,47,6,23752
Leatherheads,31373938,40830862,58000000,4-Apr-08,00-10,PG-13,,Universal,Original Screenplay,Romantic Comedy,Historical Fiction,George Clooney,52,6.1,14504
Day of the Dead,0,0,18000000,8-Apr-08,00-10,R,,Warner Bros.,Remake,Horror,Fantasy,Steve Miner,,4.5,8395
The Visitor,9427026,16194905,4000000,11-Apr-08,00-10,PG-13,,Overture Films,Original Screenplay,Comedy,Contemporary Fiction,,90,6.8,318
Prom Night,43869350,57109687,18000000,11-Apr-08,00-10,PG-13,85,Sony/Screen Gems,Remake,Horror,Contemporary Fiction,,8,5.1,4263
